City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,butaritari,88,KI,1521996787,97,3.07,172.79,83.55,16.31
1,dunedin,68,NZ,1521996876,72,-45.87,170.5,55.29,7.74
2,mount isa,0,AU,1521993600,65,-20.73,139.49,78.8,8.05
3,ahipara,0,NZ,1521996888,100,-35.17,173.16,57.09,5.39
4,port alfred,12,ZA,1521996779,89,-33.59,26.89,66.49,15.12
5,kapaa,1,US,1521993360,100,22.08,-159.32,64.4,4.7
6,bumba,12,CD,1521996852,84,2.18,22.47,79.05,2.59
7,nizhniy kuranakh,8,RU,1521996822,73,58.84,125.49,30.49,10.27
8,te anau,92,NZ,1521996886,84,-45.41,167.72,56.41,14.79
9,ostrovnoy,8,RU,1521996690,80,68.05,39.51,5.47,4.27
10,hermanus,32,ZA,1521996779,75,-34.42,19.24,58.21,4.72
11,bahadurganj,0,IN,1521997000,38,26.26,87.82,70.77,4.38
12,faanui,48,PF,1521996794,100,-16.48,-151.75,79.59,16.13
13,barrow,48,AR,1521996806,54,-38.31,-60.23,60.91,14.85
14,akonolinga,0,CM,1521997000,94,3.77,12.24,72.75,1.32
15,atuona,36,PF,1521996780,100,-9.8,-139.03,78.46,16.69
16,punta arenas,20,CL,1521993600,47,-53.16,-70.91,55.4,23.04
17,presov,75,SK,1521995400,52,49.0,21.23,42.8,3.36
18,new norfolk,40,AU,1521993600,50,-42.78,147.06,53.6,17.22
19,jacareacanga,92,BR,1521997001,74,-6.22,-57.76,83.64,2.1
20,clyde river,75,CA,1521993600,74,70.47,-68.59,-27.41,3.11
21,mar del plata,92,AR,1521996554,51,-46.43,-67.52,62.53,12.44
22,ponta do sol,0,BR,1521996862,69,-20.63,-46.0,80.98,9.15
23,nhulunbuy,36,AU,1521993600,94,-12.18,136.78,77.0,5.82
24,vallenar,0,CL,1521997002,63,-28.58,-70.76,73.15,3.0
25,goderich,0,CA,1521997002,48,43.74,-81.71,34.63,12.17
26,kununurra,12,AU,1521993600,88,-15.77,128.74,80.6,3.36
27,yellowknife,90,CA,1521993600,75,62.45,-114.38,-13.01,6.93
28,avarua,90,CK,1521993600,94,-21.21,-159.78,75.2,1.12
29,pevek,44,RU,1521996812,74,69.7,170.27,-11.32,5.91
30,saskylakh,80,RU,1521996809,70,71.97,114.09,-16.13,4.34
31,sandila,0,IN,1521993600,38,27.06,80.51,77.0,2.77
32,guerrero negro,92,MX,1521996823,62,27.97,-114.04,63.07,14.41
33,sambava,88,MG,1521997003,100,-14.27,50.17,80.8,14.9
34,busselton,100,AU,1521996779,71,-33.64,115.35,79.95,20.89
35,aksarka,56,RU,1521997003,60,66.56,67.8,-7.27,3.0
36,kostomuksha,20,RU,1521997004,73,64.59,30.6,15.37,6.58
37,montes altos,75,BR,1521993600,59,-5.83,-47.07,91.4,4.79
38,pauini,32,BR,1521997004,66,-7.71,-67.0,89.4,5.84
39,ribeira grande,8,PT,1521996861,100,38.52,-28.7,62.8,8.37
40,port blair,20,IN,1521997004,100,11.67,92.75,84.09,10.54
41,portland,75,US,1521996540,87,45.52,-122.67,42.8,3.22
42,roma,0,IT,1521994800,67,41.89,12.48,59.0,9.17
43,binika,0,IN,1521997005,59,21.03,83.8,73.29,4.38
44,kalmunai,44,LK,1521996825,100,7.42,81.82,73.06,2.82
45,jamestown,48,AU,1521996753,96,-33.21,138.6,53.17,12.06
46,tilichiki,0,RU,1521997005,62,60.47,166.1,-13.79,3.04
47,arraial do cabo,0,BR,1521993600,55,-22.97,-42.02,91.4,14.99
48,cherskiy,56,RU,1521996798,66,68.75,161.3,-9.02,3.89
49,kahului,1,US,1521993600,100,20.89,-156.47,66.2,3.36
50,nieves,0,MX,1521996924,20,24.0,-103.02,78.55,5.57
51,rikitea,92,PF,1521996785,100,-23.12,-134.97,80.08,19.15
52,tuktoyaktuk,40,CA,1521993600,73,69.44,-133.03,-18.41,3.36
53,kaitangata,92,NZ,1521996802,92,-46.28,169.85,53.71,6.02
54,kyabe,44,TD,1521997006,28,9.45,18.94,93.04,5.06
55,buraydah,75,SA,1521993600,17,26.33,43.97,91.4,5.82
56,bluff,76,AU,1521996786,91,-23.58,149.07,70.99,5.28
57,ushuaia,20,AR,1521993600,41,-54.81,-68.31,57.2,4.7
58,chuy,76,UY,1521996821,91,-33.69,-53.46,65.37,24.47
59,ngunguru,0,NZ,1521996898,94,-35.62,174.5,68.79,9.15
60,lastoursville,32,GA,1521997007,79,-0.81,12.73,80.26,3.6
61,albany,90,US,1521993540,59,42.65,-73.75,37.4,5.82
62,bredasdorp,44,ZA,1521993600,46,-34.53,20.04,69.8,20.8
63,mataura,92,NZ,1521996791,86,-46.19,168.86,54.88,7.81
64,lebu,0,ET,1521996830,30,8.96,38.73,59.83,9.08
65,amazar,80,RU,1521997007,66,53.86,120.88,41.02,5.35
66,hobart,40,AU,1521993600,50,-42.88,147.33,53.6,17.22
67,bandarbeyla,88,SO,1521996898,100,9.49,50.81,79.63,16.87
68,benicarlo,88,ES,1521997008,99,40.42,0.43,55.42,9.6
69,carnarvon,0,ZA,1521996827,32,-30.97,22.13,57.94,7.81
70,saravan,75,AM,1521995400,30,39.72,45.65,59.0,2.24
71,puerto el triunfo,0,SV,1521993000,33,13.27,-88.55,93.2,2.24
72,kushiro,76,JP,1521997008,81,43.11,144.15,26.53,2.48
73,bethel,90,US,1521993180,63,60.79,-161.76,28.4,9.17
74,georgetown,40,GY,1521993600,58,6.8,-58.16,87.8,9.17
75,matias barbosa,0,BR,1521997009,81,-21.87,-43.32,80.26,7.25
76,kidal,8,ML,1521997009,17,18.44,1.41,76.62,2.89
77,urusha,80,RU,1521997009,59,54.05,122.9,34.27,5.28
78,tucano,68,BR,1521997009,83,-10.96,-38.79,76.21,9.6
79,los llanos de aridane,40,ES,1521995400,68,28.66,-17.92,66.2,13.87
80,bartica,40,GY,1521993600,58,6.41,-58.62,87.8,9.17
81,nikolskoye,90,RU,1521993600,95,59.7,30.79,37.4,15.66
82,hobyo,12,SO,1521996826,81,5.35,48.53,79.63,13.96
83,praia da vitoria,0,PT,1521997010,100,38.73,-27.07,61.05,1.25
84,hamilton,40,CA,1521993600,63,43.26,-79.87,33.8,16.11
85,puerto ayora,75,EC,1521993600,69,-0.74,-90.35,82.4,12.75
86,kamakhyanagar,56,IN,1521997010,69,20.93,85.54,81.39,5.23
87,kodiak,90,US,1521993180,86,39.95,-94.76,37.4,11.41
88,lasa,20,CY,1521995400,67,34.92,32.53,64.4,3.36
89,luangwa,44,MZ,1521997011,50,-15.62,30.4,86.29,4.61
90,port augusta,75,AU,1521993600,82,-32.49,137.76,59.0,8.05
91,san quintin,0,PH,1521996798,87,17.54,120.52,61.63,3.38
92,beian,75,NO,1521994800,100,63.66,9.57,32.0,14.99
93,fort nelson,90,CA,1521993600,70,58.81,-122.69,-4.01,5.82
94,virginia beach,1,US,1521996000,54,36.85,-75.98,50.0,10.29
95,axim,24,GH,1521996889,100,4.87,-2.24,81.61,6.85
96,ponta delgada,20,PT,1521995400,72,37.73,-25.67,64.4,11.41
97,dingle,44,PH,1521997012,77,11.0,122.67,77.38,16.13
98,hithadhoo,56,MV,1521996816,100,-0.6,73.08,83.55,2.89
99,usiacuri,20,CO,1521993600,58,10.74,-74.98,87.8,16.11
100,puerto escondido,5,MX,1521992460,58,15.86,-97.07,84.2,6.93
101,antofagasta,0,CL,1521993600,64,-23.65,-70.4,68.0,10.29
102,san patricio,20,PY,1521996827,67,-26.98,-56.83,65.82,8.86
103,paratebueno,20,CO,1521993600,41,4.38,-73.21,91.4,6.93
104,vaini,56,IN,1521996778,78,15.34,74.49,71.62,1.7
105,aklavik,75,CA,1521994260,66,68.22,-135.01,-23.81,2.24
106,comodoro rivadavia,0,AR,1521993600,48,-45.87,-67.48,64.4,5.82
107,upernavik,8,GL,1521996805,100,72.79,-56.15,-10.28,11.77
108,amalapuram,0,IN,1521997014,83,16.58,82.0,79.95,6.35
109,moerai,80,PF,1521997014,95,-22.43,-151.33,82.51,10.65
110,hovd,75,NO,1521994800,69,63.83,10.7,33.8,8.05
111,thompson,90,CA,1521994320,92,55.74,-97.86,30.2,8.05
112,kieta,80,PG,1521997014,100,-6.22,155.63,78.55,5.06
113,bilibino,20,RU,1521997014,86,68.06,166.44,-20.81,2.21
114,quatre cocos,40,MU,1521993600,78,-20.21,57.76,80.6,8.05
115,cape town,40,ZA,1521993600,59,-33.93,18.42,64.4,10.29
116,tuy hoa,92,VN,1521997015,93,13.08,109.3,73.69,5.79
117,katsuura,0,JP,1521996822,80,33.93,134.5,42.82,4.34
118,zhigansk,92,RU,1521996801,78,66.77,123.37,15.73,14.07
119,hirara,88,JP,1521997015,100,24.8,125.28,70.18,14.12
120,cravo norte,0,CO,1521997015,34,6.3,-70.2,97.81,12.44
121,north bend,90,US,1521995700,100,43.41,-124.22,37.4,3.36
122,angoche,0,MZ,1521997016,100,-16.23,39.91,84.09,11.1
123,flinders,24,AU,1521993600,55,-34.58,150.85,66.2,9.17
124,lucea,40,JM,1521993600,66,18.44,-78.17,84.2,18.34
125,turukhansk,44,RU,1521996838,69,65.8,87.96,-15.95,4.9
126,agirish,44,RU,1521997017,70,61.92,63.02,17.89,6.4
127,alvinopolis,0,BR,1521997017,77,-20.11,-43.05,79.72,8.41
128,oktyabrskoye,76,RU,1521997017,85,56.73,85.44,24.69,3.11
129,laplace,90,US,1521995700,78,30.07,-90.48,78.8,8.93
130,ilulissat,20,GL,1521993000,57,69.22,-51.1,-7.61,5.82
131,ignacio zaragoza,0,MX,1521997018,15,20.02,-99.32,74.37,4.0
132,mindelo,20,PT,1521995400,66,41.31,-8.72,57.2,18.34
133,college,1,US,1521993480,50,64.86,-147.8,6.8,10.29
134,plettenberg bay,0,ZA,1521997018,100,-34.05,23.37,64.78,14.12
135,vysokogornyy,8,RU,1521997019,73,50.1,139.13,10.78,2.21
136,castro,92,CL,1521996784,82,-42.48,-73.76,55.02,2.71
137,kruisfontein,0,ZA,1521996887,83,-34.0,24.73,65.1,17.81
138,ketchikan,90,US,1521993180,93,55.34,-131.65,37.4,9.17
139,kasama,24,ZM,1521997019,92,-10.21,31.19,66.94,3.71
140,norman wells,75,CA,1521995220,69,65.28,-126.83,-13.01,9.17
141,santiago del estero,0,AR,1521996763,35,-27.8,-64.26,73.2,5.91
142,narsaq,20,GL,1521993000,31,60.91,-46.05,17.6,13.87
143,banjar,56,ID,1521997019,97,-7.37,108.54,71.53,1.81
144,coihaique,75,CL,1521993600,66,-45.58,-72.07,51.8,8.05
145,saint george,90,GR,1521994800,82,39.45,22.34,55.4,17.22
146,nanakuli,1,US,1521993420,93,21.39,-158.15,66.2,4.7
147,longyearbyen,40,NO,1521993000,60,78.22,15.63,8.6,9.17
148,kavieng,56,PG,1521996857,100,-2.57,150.8,82.65,5.28
149,ormara,0,PK,1521997020,91,25.21,64.64,74.86,9.26
150,faya,0,SA,1521993600,9,18.39,42.45,71.6,5.82
151,ouidah,40,BJ,1521993600,74,6.37,2.09,86.0,10.29
152,moranbah,76,AU,1521997021,95,-22.0,148.04,70.36,6.51
153,pretoria,32,ZA,1521993600,77,-25.75,28.19,68.0,2.24
154,beringovskiy,92,RU,1521996849,96,63.05,179.32,13.75,23.35
155,port lincoln,8,AU,1521996818,94,-34.72,135.86,60.01,15.12
156,pacific grove,20,US,1521995700,81,36.62,-121.92,50.0,6.8
157,aquiraz,40,BR,1521993600,59,-3.9,-38.39,89.6,11.41
158,polyarnyy,75,RU,1521995400,79,69.2,33.45,19.4,8.95
159,graaff-reinet,0,ZA,1521997022,37,-32.25,24.53,61.18,5.91
160,shawnee,90,US,1521995700,76,35.33,-96.93,57.2,13.87
161,yulara,0,AU,1521993600,35,-25.24,130.99,73.4,8.05
162,caruray,8,PH,1521997022,100,10.31,119.01,80.71,10.54
163,bambanglipuro,44,ID,1521997023,99,-7.95,110.28,68.79,2.55
164,isangel,92,VU,1521996808,100,-19.55,169.27,76.39,12.95
165,alofi,92,NU,1521993600,100,-19.06,-169.92,73.4,2.24
166,shagamu,8,NG,1521997023,83,6.84,3.65,83.64,8.08
167,saint-philippe,1,CA,1521994920,59,45.36,-73.48,35.6,12.75
168,zalesovo,92,RU,1521997023,97,54.0,84.74,27.97,5.57
169,beloha,0,MG,1521996904,73,-25.17,45.06,78.01,5.73
170,sept-iles,40,CA,1521993600,23,50.2,-66.38,26.6,6.93
171,tazovskiy,64,RU,1521996822,64,67.47,78.7,-14.15,7.92
172,dikson,64,RU,1521996799,100,73.51,80.55,-7.13,0.31
173,bambous virieux,40,MU,1521993600,78,-20.34,57.76,80.6,8.05
174,auki,0,NG,1521997024,24,12.18,6.51,85.8,4.27
175,zagora,90,HR,1521995400,64,46.19,15.87,44.6,2.24
176,zhanakorgan,100,KZ,1521997024,68,43.91,67.25,62.8,11.95
177,carutapera,92,BR,1521996785,83,-1.2,-46.02,83.64,5.57
178,general roca,0,AR,1521993600,24,-39.03,-67.58,68.0,3.36
179,gizo,0,IL,1521994800,59,31.8,34.94,66.2,10.29
180,ancud,88,CL,1521996793,73,-41.87,-73.83,57.31,3.6
181,cidreira,88,BR,1521996871,89,-30.17,-50.22,72.3,20.15
182,kamenka,12,RU,1521997025,86,53.19,44.05,23.47,13.18
183,victoria,75,BN,1521993600,94,5.28,115.24,80.6,2.1
184,klaksvik,88,FO,1521994800,75,62.23,-6.59,41.0,13.87
185,sisimiut,64,GL,1521997026,82,66.94,-53.67,-5.42,2.48
186,samarai,68,PG,1521996823,100,-10.62,150.67,82.78,10.76
187,mehamn,75,NO,1521993000,73,71.03,27.85,24.8,27.51
188,buala,92,SB,1521997026,100,-8.15,159.59,74.77,7.4
189,esperance,75,TT,1521993600,61,10.24,-61.45,82.4,17.22
190,khao wong,0,TH,1521997027,70,16.69,104.09,71.17,6.02
191,rivera,20,UY,1521997027,76,-30.9,-55.54,65.68,17.43
192,lumsden,75,CA,1521993600,74,50.65,-104.86,30.2,11.41
193,turangi,8,NZ,1521997028,100,-39.0,175.93,41.29,1.36
194,sycamore,1,US,1521995700,35,41.99,-88.69,39.2,14.99
195,vardo,90,US,1521995700,74,39.62,-77.74,37.4,10.29
196,torbay,90,CA,1521994260,86,47.66,-52.73,28.4,27.51
197,atkinson,1,US,1521995700,55,41.42,-90.02,35.6,13.87
198,sao filipe,0,CV,1521996860,91,14.9,-24.5,72.07,20.22
199,huangmei,36,CN,1521996904,97,30.1,115.95,53.08,1.99
200,grindavik,75,IS,1521995400,100,63.84,-22.43,39.2,18.34
201,caravelas,36,BR,1521996823,100,-17.73,-39.27,81.97,14.45
202,hammerfest,90,NO,1521994800,92,70.66,23.68,23.0,9.17
203,nsanje,12,MZ,1521997029,94,-16.92,35.26,75.04,3.78
204,hilo,1,US,1521993180,93,19.71,-155.08,66.2,10.09
205,husavik,92,CA,1521996860,96,50.56,-96.99,32.7,22.12
206,cayenne,90,GF,1521995400,88,4.94,-52.33,80.6,11.41
207,lerwick,76,GB,1521994800,81,60.15,-1.15,42.8,12.75
208,duminichi,20,RU,1521997030,90,53.93,35.11,31.84,15.08
209,abong mbang,12,CM,1521997030,88,3.98,13.18,74.55,1.81
210,tiznit,0,MA,1521997030,73,29.7,-9.73,65.37,11.27
211,tarakan,80,ID,1521997030,100,3.3,117.63,75.58,5.39
212,ouallam,8,NE,1521997031,24,14.32,2.08,86.65,2.89
213,moree,80,AU,1521997031,72,-29.46,149.84,70.32,10.27
214,svetlogorsk,40,RU,1521995400,78,53.14,59.15,15.8,6.71
215,sembakung,88,ID,1521996735,100,3.82,117.25,72.25,2.89
216,fort-shevchenko,0,KZ,1521997031,96,44.51,50.26,40.62,10.94
217,atar,12,MR,1521997008,12,20.52,-13.05,87.73,6.62
218,east london,0,ZA,1521993600,82,-33.02,27.91,64.4,11.41
219,bonthe,36,SL,1521996892,63,7.53,-12.5,86.92,5.57
220,kualakapuas,100,ID,1521997032,100,-3.01,114.39,73.47,3.22
221,lander,1,US,1521996780,55,42.83,-108.73,37.4,12.39
222,urman,0,UA,1521997032,81,49.57,24.95,30.85,9.15
223,egvekinot,76,RU,1521997033,92,66.32,-179.17,23.79,5.73
224,ebensee,0,DE,1521994800,43,49.47,11.14,53.6,4.7
225,hashtrud,56,IR,1521996932,81,37.48,47.05,46.33,14.97
226,tiksi,0,RU,1521996545,61,71.64,128.87,-13.39,2.77
227,myitkyina,20,MM,1521996908,82,25.38,97.4,67.84,0.81
228,mahebourg,40,MU,1521993600,78,-20.41,57.7,80.6,8.05
229,sorong,12,ID,1521997033,100,-0.86,131.25,81.07,7.85
230,khandyga,0,RU,1521997034,53,62.65,135.58,-4.7,2.71
231,khanu woralaksaburi,64,TH,1521997034,93,16.06,99.86,75.27,2.82
232,painesville,1,US,1521995700,99,41.72,-81.25,35.6,16.11
233,port arthur,75,US,1521995700,78,29.9,-93.93,80.6,9.17
234,herveo,75,CO,1521993600,77,5.08,-75.18,77.0,11.41
235,goroka,92,PG,1521997035,100,-6.07,145.39,59.79,1.99
236,port elizabeth,90,US,1521996060,80,39.31,-74.98,46.4,9.17
237,kirakira,88,SB,1521996826,100,-10.46,161.92,80.98,14.45
238,capelinha,12,BR,1521997035,84,-17.69,-42.52,76.48,9.26
239,coquimbo,0,CL,1521993600,77,-29.95,-71.34,62.6,11.41
240,fort payne,90,US,1521995700,87,34.44,-85.72,59.0,5.82
241,ayagoz,64,KZ,1521997035,55,47.96,80.43,54.39,19.37
242,huarmey,24,PE,1521997036,56,-10.07,-78.15,78.42,3.83
243,codrington,48,AU,1521996841,96,-28.95,153.24,62.49,2.55
244,manado,40,ID,1521993600,100,1.49,124.85,75.2,1.12
245,tongliao,0,CN,1521997036,52,43.61,122.27,44.35,2.77
246,provideniya,68,RU,1521996807,100,64.42,-173.23,24.15,19.93
247,cabo san lucas,75,MX,1521992760,25,22.89,-109.91,84.2,11.41
248,marystown,48,CA,1521996958,89,47.17,-55.16,32.79,29.66
249,usinsk,76,RU,1521997037,86,66.0,57.56,14.65,8.08
250,pisco,0,PE,1521993600,73,-13.71,-76.2,77.0,6.93
251,taoudenni,0,ML,1521997037,15,22.68,-3.98,84.67,10.6
252,perigueux,90,FR,1521995400,87,45.18,0.72,51.8,5.82
253,jangipur,0,IN,1521997037,80,24.46,88.11,73.74,2.82
254,sitka,0,US,1521996806,56,37.17,-99.65,60.15,19.44
255,lodja,32,CD,1521997037,87,-3.52,23.6,77.74,2.04
256,gamba,24,CN,1521997038,77,28.28,88.52,6.01,1.48
257,sao joao da barra,20,BR,1521993600,58,-21.64,-41.05,86.0,16.11
258,bathsheba,40,BB,1521993600,66,13.22,-59.52,84.2,19.46
259,constitucion,40,MX,1521992580,20,23.99,-104.67,66.2,3.36
260,mangrol,0,IN,1521997038,50,25.33,76.51,64.47,3.0
261,palora,80,EC,1521997038,100,-1.7,-77.97,68.11,2.77
262,odienne,68,CI,1521997039,27,9.51,-7.57,94.3,5.28
263,pathanamthitta,8,IN,1521996963,69,9.27,76.79,78.46,4.12
264,namatanai,44,PG,1521996821,100,-3.66,152.44,80.26,8.59
265,saldanha,0,PT,1521996818,58,41.42,-6.55,47.05,9.75
266,montpellier,0,FR,1521995400,54,43.61,3.88,57.2,12.75
267,takoradi,44,GH,1521996787,100,4.89,-1.75,80.22,6.06
268,dillon,90,US,1521993180,54,45.22,-112.64,28.4,3.36
269,kavaratti,0,IN,1521996875,99,10.57,72.64,85.39,6.8
270,talaya,80,RU,1521996800,91,55.79,84.89,23.92,3.0
271,noumea,56,NC,1521995400,94,-22.28,166.46,75.2,7.58
272,klyuchi,92,RU,1521997040,99,52.25,79.17,32.47,11.1
273,visby,0,SE,1521994800,70,57.64,18.3,42.8,12.75
274,hasaki,0,JP,1521993600,87,35.73,140.83,44.6,1.12
275,ierapetra,40,GR,1521994800,52,35.01,25.74,64.4,20.8
276,sangar,88,RU,1521997041,76,63.92,127.47,15.87,12.39
277,balabac,68,PH,1521997041,100,7.99,117.06,81.75,13.33
278,severo-kurilsk,76,RU,1521996821,100,50.68,156.12,24.42,7.14
